HJD	Mag	Band
2459762.18896 	-0.174 	B
2459762.19413 	-0.144 	B
2459762.19806 	-0.110 	B
2459762.20197 	-0.088 	B
2459762.20589 	-0.051 	B
2459762.20980 	0.000 	B
2459762.21373 	0.054 	B
2459762.21764 	0.097 	B
2459762.22156 	0.128 	B
2459762.22548 	0.136 	B
2459762.22940 	0.133 	B
2459762.23331 	0.139 	B
2459762.23724 	0.133 	B
2459762.24116 	0.131 	B
2459762.24507 	0.134 	B
2459762.24899 	0.139 	B
2459762.25412 	0.100 	B
2459762.25805 	0.058 	B
2459762.26196 	0.010 	B
2459762.26588 	-0.034 	B
2459762.26979 	-0.089 	B
2459762.27372 	-0.123 	B
2459762.27763 	-0.147 	B
2459762.29382 	-0.238 	B
2459762.29832 	-0.255 	B
2459762.30225 	-0.266 	B
2459762.30616 	-0.279 	B
2459762.31008 	-0.287 	B
2459762.31399 	-0.289 	B
2459762.31792 	-0.301 	B
2459762.32183 	-0.310 	B
2459762.32575 	-0.312 	B
2459762.32968 	-0.309 	B
2459762.33359 	-0.307 	B
2459762.33918 	-0.287 	B
2459762.34309 	-0.278 	B
2459762.34701 	-0.264 	B
2459762.35093 	-0.256 	B
2459762.35485 	-0.237 	B
2459762.35876 	-0.221 	B
2459762.36269 	-0.215 	B
2459762.36661 	-0.190 	B
2459762.37052 	-0.173 	B
2459762.37444 	-0.150 	B
2459762.37836 	-0.121 	B
2459762.38228 	-0.091 	B
2459762.38619 	-0.059 	B
2459762.39012 	-0.027 	B
2459762.39403 	0.014 	B
2459762.39795 	0.057 	B
2459762.40186 	0.104 	B
2459762.40579 	0.146 	B
2459762.40970 	0.169 	B
2459762.41362 	0.175 	B
2459762.41753 	0.164 	B
2459762.42146 	0.171 	B
2459762.42538 	0.164 	B
2459762.42929 	0.157 	B
2459762.43322 	0.145 	B
2459762.43713 	0.119 	B
2459762.44105 	0.081 	B
2459762.44496 	0.040 	B
2459762.44889 	0.011 	B
2459762.45280 	-0.029 	B
2459762.45672 	-0.083 	B
2459762.46065 	-0.112 	B
2459762.46456 	-0.134 	B
2459762.46848 	-0.163 	B
2459762.47660 	-0.210 	B
2459762.48051 	-0.237 	B
2459763.16741 	0.137 	B
