HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	&	Ref	&	HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	                 &	Ref
51358.69650 	&	0.00080 	&	P	&	-18752	&	0.036919 	&	(1)	&	59001.76280 	&	0.00019	&	S	&	1911.5	&	-0.007213 	&	(15)
51364.79780 	&	0.00090 	&	S	&	-18735.5	&	0.035123 	&	(1)	&	59001.94850 	&	0.00014	&	P	&	1912	&	-0.006455 	&	(15)
53121.54670 	&	0.00050 	&	P	&	-13986	&	0.017116 	&	(1)	&	59002.13250 	&	0.00018	&	S	&	1912.5	&	-0.007397 	&	(15)
53143.37030 	&	0.00190 	&	P	&	-13927	&	0.017524 	&	(1)	&	59002.31850 	&	0.00016	&	P	&	1913	&	-0.006340 	&	(15)
53150.39810 	&	0.00060 	&	P	&	-13908	&	0.017517 	&	(1)	&	59002.50260 	&	0.00018	&	S	&	1913.5	&	-0.007182 	&	(15)
53150.58210 	&	0.00150 	&	S	&	-13907.5	&	0.016575 	&	(1)	&	59002.68840 	&	0.00014	&	P	&	1914	&	-0.006324 	&	(15)
53152.61850 	&	0.00030 	&	P	&	-13902	&	0.018609 	&	(2)	&	59002.87240 	&	0.00018	&	S	&	1914.5	&	-0.007267 	&	(15)
53154.46620 	&	0.00050 	&	P	&	-13897	&	0.016886 	&	(1)	&	59003.05840 	&	0.00017	&	P	&	1915	&	-0.006209 	&	(15)
53154.65570 	&	0.00040 	&	S	&	-13896.5	&	0.021444 	&	(2)	&	59003.24190 	&	0.00022	&	S	&	1915.5	&	-0.007651 	&	(15)
53162.60470 	&	0.00030 	&	P	&	-13875	&	0.017925 	&	(2)	&	59003.42820 	&	0.00016	&	P	&	1916	&	-0.006294 	&	(15)
53163.53080 	&	0.00060 	&	S	&	-13872.5	&	0.019314 	&	(2)	&	59003.61210 	&	0.00018	&	S	&	1916.5	&	-0.007336 	&	(15)
53169.63550 	&	0.00020 	&	P	&	-13856	&	0.020918 	&	(2)	&	59003.79820 	&	0.00015	&	P	&	1917	&	-0.006178 	&	(15)
53171.67010 	&	0.00020 	&	S	&	-13850.5	&	0.021152 	&	(2)	&	59003.98190 	&	0.00018	&	S	&	1917.5	&	-0.007420 	&	(15)
53172.59340 	&	0.00030 	&	P	&	-13848	&	0.019741 	&	(2)	&	59004.16810 	&	0.00014	&	P	&	1918	&	-0.006163 	&	(15)
53173.51500 	&	0.00030 	&	S	&	-13845.5	&	0.016629 	&	(1)	&	59004.35190 	&	0.00019	&	S	&	1918.5	&	-0.007305 	&	(15)
53177.58640 	&	0.00070 	&	S	&	-13834.5	&	0.019299 	&	(2)	&	59004.53790 	&	0.00016	&	P	&	1919	&	-0.006247 	&	(15)
53179.61590 	&	0.00090 	&	P	&	-13829	&	0.014433 	&	(2)	&	59004.72160 	&	0.00019	&	S	&	1919.5	&	-0.007490 	&	(15)
53198.48410 	&	0.00040 	&	P	&	-13778	&	0.018519 	&	(2)	&	59004.90770 	&	0.00016	&	P	&	1920	&	-0.006332 	&	(15)
53203.47480 	&	0.00050 	&	S	&	-13764.5	&	0.015777 	&	(1)	&	59005.09170 	&	0.00019	&	S	&	1920.5	&	-0.007274 	&	(15)
53204.58770 	&	0.00050 	&	S	&	-13761.5	&	0.019023 	&	(2)	&	59005.27750 	&	0.00016	&	P	&	1921	&	-0.006417 	&	(15)
53208.47010 	&	0.00060 	&	P	&	-13751	&	0.017635 	&	(2)	&	59005.46160 	&	0.00018	&	S	&	1921.5	&	-0.007259 	&	(15)
53223.45010 	&	0.00030 	&	S	&	-13710.5	&	0.017308 	&	(2)	&	59005.64770 	&	0.00016	&	P	&	1922	&	-0.006101 	&	(15)
53227.52050 	&	0.00030 	&	S	&	-13699.5	&	0.018978 	&	(2)	&	59005.83150 	&	0.0002	&	S	&	1922.5	&	-0.007243 	&	(15)
53229.36710 	&	0.00250 	&	S	&	-13694.5	&	0.016155 	&	(1)	&	59006.01760 	&	0.00015	&	P	&	1923	&	-0.006086 	&	(15)
53229.55240 	&	0.00100 	&	P	&	-13694	&	0.016512 	&	(1)	&	59006.20130 	&	0.00018	&	S	&	1923.5	&	-0.007328 	&	(15)
53230.48120 	&	0.00040 	&	S	&	-13691.5	&	0.020601 	&	(2)	&	59006.38730 	&	0.00014	&	P	&	1924	&	-0.006270 	&	(15)
53242.49950 	&	0.00060 	&	P	&	-13659	&	0.017651 	&	(2)	&	59006.57120 	&	0.00018	&	S	&	1924.5	&	-0.007313 	&	(15)
53250.45190 	&	0.00080 	&	S	&	-13637.5	&	0.017533 	&	(1)	&	59006.75720 	&	0.00015	&	P	&	1925	&	-0.006255 	&	(15)
53258.40490 	&	0.00040 	&	P	&	-13616	&	0.018014 	&	(2)	&	59006.94120 	&	0.00018	&	S	&	1925.5	&	-0.007197 	&	(15)
53617.37410 	&	0.00110 	&	S	&	-12645.5	&	0.014209 	&	(3)	&	59007.12710 	&	0.00015	&	P	&	1926	&	-0.006240 	&	(15)
53941.39200 	&	0.00100 	&	S	&	-11769.5	&	0.013200 	&	(4)	&	59007.31090 	&	0.00017	&	S	&	1926.5	&	-0.007382 	&	(15)
54316.45730 	&	0.00020 	&	S	&	-10755.5	&	0.015515 	&	(2)	&	59007.49690 	&	0.00015	&	P	&	1927	&	-0.006324 	&	(15)
54328.47620 	&	0.00030 	&	P	&	-10723	&	0.013166 	&	(2)	&	59007.68100 	&	0.00018	&	S	&	1927.5	&	-0.007166 	&	(15)
54331.43600 	&	0.00020 	&	P	&	-10715	&	0.013889 	&	(2)	&	59007.86670 	&	0.00016	&	P	&	1928	&	-0.006409 	&	(15)
54333.47000 	&	0.00010 	&	S	&	-10709.5	&	0.013524 	&	(2)	&	59008.05090 	&	0.0002	&	S	&	1928.5	&	-0.007151 	&	(15)
54364.34970 	&	0.00050 	&	P	&	-10626	&	0.007860 	&	(5)	&	59008.23670 	&	0.00016	&	P	&	1929	&	-0.006293 	&	(15)
54623.64150 	&	0.00020 	&	P	&	-9925	&	0.010555 	&	(2)	&	59008.42070 	&	0.00019	&	S	&	1929.5	&	-0.007236 	&	(15)
54626.59780 	&	0.00060 	&	P	&	-9917	&	0.007778 	&	(2)	&	59008.60640 	&	0.00015	&	P	&	1930	&	-0.006478 	&	(15)
54628.63530 	&	0.00020 	&	S	&	-9911.5	&	0.010913 	&	(2)	&	59008.79040 	&	0.00019	&	S	&	1930.5	&	-0.007420 	&	(15)
54639.54440 	&	0.00050 	&	P	&	-9882	&	0.008417 	&	(2)	&	59008.97620 	&	0.00017	&	P	&	1931	&	-0.006563 	&	(15)
54643.43120 	&	0.00040 	&	S	&	-9871.5	&	0.011429 	&	(2)	&	59009.16030 	&	0.00018	&	S	&	1931.5	&	-0.007405 	&	(15)
54650.45570 	&	0.00020 	&	S	&	-9852.5	&	0.008122 	&	(2)	&	59010.45540 	&	0.00015	&	P	&	1935	&	-0.006901 	&	(15)
54651.56860 	&	0.00030 	&	S	&	-9849.5	&	0.011368 	&	(2)	&	59010.63970 	&	0.00018	&	S	&	1935.5	&	-0.007543 	&	(15)
54656.56130 	&	0.00020 	&	P	&	-9836	&	0.010626 	&	(2)	&	59010.82540 	&	0.00016	&	P	&	1936	&	-0.006786 	&	(15)
54670.42900 	&	0.00030 	&	S	&	-9798.5	&	0.007653 	&	(2)	&	59011.00950 	&	0.00018	&	S	&	1936.5	&	-0.007628 	&	(15)
54674.50050 	&	0.00030 	&	S	&	-9787.5	&	0.010423 	&	(2)	&	59011.19520 	&	0.00016	&	P	&	1937	&	-0.006870 	&	(15)
54675.42260 	&	0.00040 	&	P	&	-9785	&	0.007811 	&	(2)	&	59011.37950 	&	0.00018	&	S	&	1937.5	&	-0.007512 	&	(15)
54681.52810 	&	0.00040 	&	S	&	-9768.5	&	0.010215 	&	(2)	&	59011.56500 	&	0.00015	&	P	&	1938	&	-0.006955 	&	(15)
54682.45200 	&	0.00020 	&	P	&	-9766	&	0.009404 	&	(2)	&	59011.74920 	&	0.00019	&	S	&	1938.5	&	-0.007697 	&	(15)
54684.48640 	&	0.00050 	&	S	&	-9760.5	&	0.009438 	&	(2)	&	59011.93470 	&	0.00016	&	P	&	1939	&	-0.007139 	&	(15)
54919.91640 	&	0.00030 	&	P	&	-9124	&	0.007890 	&	(6)	&	59012.11910 	&	0.00019	&	S	&	1939.5	&	-0.007682 	&	(15)
55067.49800 	&	0.00080 	&	P	&	-8725	&	0.005535 	&	(7)	&	59012.30480 	&	0.00013	&	P	&	1940	&	-0.006924 	&	(15)
55309.95820 	&	0.00020 	&	S	&	-8069.5	&	0.006380 	&	(8)	&	59012.48900 	&	0.00018	&	S	&	1940.5	&	-0.007666 	&	(15)
